scene,det_id,cx,cy,x,y,w,h,area,score,rf,cnn,hsv,depth,hsv_frac,lap_var
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,1,245,491,239,486,12,11,132,0.5229,0.42,0.5028,0.8786,0.242,0.1757,241.99
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,2,293,193,252,124,82,138,11316,0.4967,0.32,0.4722,1.0,0.1936,0.3887,193.65
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,3,382,92,349,72,67,40,2680,0.5517,0.43,0.5538,1.0,0.0739,0.3941,73.91
0cc16d4f80bf162bbe502bff7e768418_jpg.rf.XAnzrw3PfUYE1KKuLLAu.jpg,1,473,462,434,413,78,99,7722,0.5302,0.26,0.6168,1.0,0.2334,0.4839,233.42
0cc16d4f80bf162bbe502bff7e768418_jpg.rf.XAnzrw3PfUYE1KKuLLAu.jpg,2,230,61,224,54,13,15,195,0.588,0.53,0.5342,1.0,0.1555,0.3289,155.51
0cc16d4f80bf162bbe502bff7e768418_jpg.rf.XAnzrw3PfUYE1KKuLLAu.jpg,3,266,24,253,18,27,12,324,0.586,0.52,0.5536,1.0,0.1021,0.3291,102.13
0cc16d4f80bf162bbe502bff7e768418_jpg.rf.XAnzrw3PfUYE1KKuLLAu.jpg,4,182,18,164,4,37,28,1036,0.5857,0.56,0.5191,1.0,0.0805,0.2621,80.46
1000_F_195195148_PX9B9rE8TasfHa4l8WtmucoTHOEDok13_jpg.rf.tEBwlg9qt4BLCXCLaBTN.jpg,1,328,312,317,298,22,28,616,0.4812,0.34,0.4526,0.9081,0.2222,0.1816,222.17
10_jpg.rf.gym0bCuc8i1Y4tBlHSQo.jpg,1,341,227,287,181,109,92,10028,0.614,0.38,0.5171,1.0,1.0,0.3261,2958.91
10_jpg.rf.sXFJUhU0cV4b77QEPCBX.jpg,1,239,220,226,208,27,24,648,0.6772,0.56,0.5538,0.9366,1.0,0.1873,6007.3
10_jpg.rf.sXFJUhU0cV4b77QEPCBX.jpg,2,313,190,254,146,118,88,10384,0.6381,0.42,0.5461,1.0,1.0,0.3036,5457.15
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,1,265,411,255,399,20,24,480,0.6287,0.41,0.5291,1.0,1.0,0.2604,4278.13
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,2,294,183,281,171,26,25,650,0.7351,0.62,0.6316,0.9851,1.0,0.197,2726.41
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,3,493,178,474,155,38,46,1748,0.6796,0.61,0.5948,0.7896,1.0,0.1579,2198.49
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,4,285,150,279,144,13,13,169,0.6485,0.44,0.5557,1.0,1.0,0.2384,2347.36
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,5,5,143,0,134,10,18,180,0.6206,0.4,0.5159,1.0,1.0,0.3042,2101.34
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,6,291,132,285,126,13,12,156,0.6933,0.59,0.586,0.9083,1.0,0.1817,3029.13
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,7,480,130,464,120,32,21,672,0.6583,0.62,0.4833,0.8609,1.0,0.1722,2400.05
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,8,267,94,251,87,32,14,448,0.5225,0.4,0.499,0.5813,0.9155,0.1163,915.48
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,9,197,130,133,87,129,87,11223,0.6462,0.57,0.4192,1.0,1.0,0.3345,1177.92
11_jpg.rf.C58jddHuOPd2SLmFzDeX.jpg,10,112,105,91,87,43,36,1548,0.6781,0.58,0.5671,1.0,0.7656,0.2216,765.6
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,1,245,418,230,411,31,14,434,0.5485,0.41,0.5198,0.6351,0.9608,0.127,960.78
11_jpg.rf.j79DUMrF25y2bDRtBgjR.jpg,2,35,384,22,371,26,26,676,0.7209,0.62,0.6019,0.9661,1.0,0.1932,2409.31
