scene,det_id,cx,cy,bbox,area,score,rf,cnn,hsv,depth,clip,hsv_frac,lap_var
0054e9d129bd325d0e31ce4feb005727_jpg.rf.Tn5RxfAo0VhfWUSLwm2m.jpg,1,61,491,"(41, 471, 40, 41)",1640,0.6706,1.0,0.5014,0.7222,0.0064,0.5263,0.1444,6.3817
0054e9d129bd325d0e31ce4feb005727_jpg.rf.Tn5RxfAo0VhfWUSLwm2m.jpg,2,3,421,"(0, 409, 7, 24)",168,0.7262,1.0,0.5018,1.0,0.0058,0.5116,0.5662,5.7901
0054e9d129bd325d0e31ce4feb005727_jpg.rf.Tn5RxfAo0VhfWUSLwm2m.jpg,3,7,262,"(1, 258, 12, 9)",108,0.5631,1.0,0.4986,0.188,0.0099,0.5126,0.0376,9.9048
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,1,194,455,"(179, 438, 31, 34)",1054,0.6243,0.6665,0.4893,1.0,0.1975,0.5282,0.3205,197.4837
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,2,313,321,"(298, 304, 30, 34)",1020,0.5168,0.3151,0.5272,1.0,0.2198,0.5135,0.6335,219.7578
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,3,6,298,"(0, 293, 13, 10)",130,0.7413,0.9444,0.4876,1.0,0.4012,0.5258,0.4282,401.1568
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,4,377,242,"(314, 205, 127, 75)",9525,0.5084,0.2985,0.4619,1.0,0.4224,0.512,0.3627,422.3877
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,5,492,196,"(485, 191, 15, 11)",165,0.5095,0.2985,0.4786,1.0,0.3759,0.4995,0.4718,375.8541
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,6,316,163,"(308, 145, 16, 36)",576,0.4907,0.3037,0.4767,1.0,0.1754,0.5076,0.5513,175.4028
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,7,392,91,"(376, 82, 32, 19)",608,0.7168,0.9684,0.4863,1.0,0.0771,0.5093,0.6694,77.1118
024d7bdf1579333810b17ba225597556_jpg.rf.wC6gRKMscShDjB3IC7gY.jpg,8,367,85,"(362, 80, 10, 11)",110,0.7321,0.9684,0.5348,1.0,0.0606,0.4995,0.8676,60.5967
0725F-3749A-1540x800_jpg.rf.1xB19avAy8rHMPHxO9nz.jpg,1,233,407,"(229, 400, 9, 14)",126,0.4876,0.3078,0.483,1.0,0.1085,0.5048,0.6374,108.4597
0725F-3749A-1540x800_jpg.rf.1xB19avAy8rHMPHxO9nz.jpg,2,263,406,"(259, 390, 8, 32)",256,0.5221,0.3735,0.5264,1.0,0.0718,0.525,0.3807,71.7686
0725F-3749A-1540x800_jpg.rf.1xB19avAy8rHMPHxO9nz.jpg,3,367,225,"(350, 194, 34, 62)",2108,0.5755,0.5468,0.4678,1.0,0.2033,0.5209,0.441,203.2829
0725F-3749A-1540x800_jpg.rf.1xB19avAy8rHMPHxO9nz.jpg,4,162,123,"(158, 113, 9, 20)",180,0.4736,0.0271,0.4953,1.0,0.9074,0.4956,0.4836,907.3541
0725F-3749A-1540x800_jpg.rf.1xB19avAy8rHMPHxO9nz.jpg,5,372,74,"(355, 66, 34, 17)",578,0.5127,0.3864,0.4638,1.0,0.1516,0.5049,0.4963,151.6226
0725F-3749A-1540x800_jpg.rf.1xB19avAy8rHMPHxO9nz.jpg,6,403,46,"(395, 33, 16, 27)",432,0.5151,0.3857,0.4985,1.0,0.0558,0.5027,0.6777,55.7954
0725F-3749A-1540x800_jpg.rf.1xB19avAy8rHMPHxO9nz.jpg,7,295,23,"(273, 0, 45, 47)",2115,0.4965,0.3127,0.5267,1.0,0.027,0.515,0.7709,27.0488
0cc16d4f80bf162bbe502bff7e768418_jpg.rf.XAnzrw3PfUYE1KKuLLAu.jpg,1,455,457,"(448, 452, 14, 11)",154,0.5146,0.2985,0.4819,1.0,0.4154,0.5084,0.6672,415.354
0cc16d4f80bf162bbe502bff7e768418_jpg.rf.XAnzrw3PfUYE1KKuLLAu.jpg,2,426,440,"(415, 435, 23, 11)",253,0.5244,0.3037,0.5156,0.8634,0.6501,0.5138,0.1727,650.0844
0cc16d4f80bf162bbe502bff7e768418_jpg.rf.XAnzrw3PfUYE1KKuLLAu.jpg,3,504,456,"(496, 414, 16, 84)",1344,0.5304,0.3037,0.5272,1.0,0.3954,0.5173,0.6151,395.4385
