Saffron Detection Run — 20260526_134507
Mode            : real
Scenes          : 1111
Total detected  : 6096
Mean detected   : 5.5
Mean avg score  : 0.4014
Highest score   : 0.7591
Best scene      : Image_151_jpg.rf.spV9r9WrtXpibKOiJoFo.jpg
Threshold       : 0.45
Ensemble weights: RF=0.35, CNN=0.35, HSV=0.2, Depth=0.1

Scene                             Det   AvgScore   MaxScore
------------------------------------------------------------
  0054e9d129bd325d0e31ce4feb00      0     0.0000     0.0000
  024d7bdf1579333810b17ba22559      3     0.5029     0.5327
  0725F-3749A-1540x800_jpg.rf.      0     0.0000     0.0000
  0cc16d4f80bf162bbe502bff7e76      4     0.5463     0.5856
  0f_jpg.rf.B5OcBVW1HBdMy9wFtB      0     0.0000     0.0000
  1000_F_195195148_PX9B9rE8Tas      1     0.4714     0.4714
  1000_F_388597537_mQJHUvKqdqV      0     0.0000     0.0000
  1000_F_463103593_IJDrRrYeScS      0     0.0000     0.0000
  1000_F_501114635_AKD1VN4b5ab      0     0.0000     0.0000
  1000_F_574869844_n3ojHZSKxcn      0     0.0000     0.0000
  1000_F_621213903_SBHsy38t0vJ      0     0.0000     0.0000
  10_jpg.rf.gym0bCuc8i1Y4tBlHS      1     0.6059     0.6059
  10_jpg.rf.sXFJUhU0cV4b77QEPC      2     0.6176     0.6337
  11_jpg.rf.C58jddHuOPd2SLmFzD     10     0.6215     0.6760
  11_jpg.rf.j79DUMrF25y2bDRtBg      8     0.6158     0.6745
  11_jpg.rf.rBZ45MMHsDF3q7kduQ      7     0.6164     0.6781
  1200px-Saffron8_jpg.rf.CsB0w      8     0.5013     0.5709
  12_jpg.rf.eQkezFdpF2AHymA2Ba      2     0.4810     0.5089
  1360438058_q_aboutsaffron_jp      4     0.5259     0.5802
  13_jpg.rf.6PfPe4Q5FcM3WU69wA      7     0.4684     0.5149
  13_jpg.rf.h4j3M6EJALR5YZeS2C     11     0.5510     0.6687
  1478859980_105980_0_jpg.rf.g      5     0.5354     0.5771
  14_jpg.rf.Ie3lfICCvQrk35bICA      2     0.6318     0.6449
  14_jpg.rf.VpBCTCV39Y1aQr1GPg      3     0.6051     0.6765
  15_jpg.rf.GFuly0eQ0Sww19YTb3      2     0.5658     0.5661
  15_jpg.rf.NQh9a5yULlmKxR7GbO      1     0.5047     0.5047
  15_jpg.rf.mQLj2Ldr6LWqv7GP1A      2     0.6038     0.6370
  16_jpg.rf.6DAvm25nW55gQV2vTI      2     0.6181     0.6210
  16_jpg.rf.BPxUp4onx3Jb9vuciP      1     0.6210     0.6210
  16_jpg.rf.h3dQQdJlrp8ucXQKz5      1     0.6097     0.6097
  17_jpg.rf.jv43NxzWuTZXHQ9BRO     24     0.5491     0.5952
  17b208a4c291ddcfaf24be6f9344     20     0.5307     0.5730
  18_jpg.rf.bIbjfifvfq6cg6ihN4      2     0.5904     0.6101
  18_jpg.rf.fKduN09BlVIKGKgrSo      1     0.5943     0.5943
  195e4ad0af195a9b1bcf9ddf2749      0     0.0000     0.0000
  19_jpg.rf.79H9zYqpvEHkBUmIsL      5     0.5408     0.5761
  19_jpg.rf.Px3ba8IURgg8AapnTZ      3     0.5422     0.5482
  19d2a8635ecbd31e3c6120f6d254     11     0.4950     0.5451
  1_jpg.rf.y3SzQJA2JqfPYvGUTJv     22     0.6115     0.6844
  1_psHOo97OjWfxX7CTem7-eg_jpg      3     0.5450     0.5805
  1bea407d4e72a3a8f333f88d1547      3     0.5017     0.5271
  1caf29808967ab5438fb27983fa8     20     0.5230     0.5659
  1e47ae6e5192ac92bbbbad445fa4      0     0.0000     0.0000
  1f766e58c42fc7527944a51c4c65      2     0.5428     0.6176
  1fbe294e8a11cd79a45a6cc80043     25     0.5224     0.5957
  201022_SAFRAN_-83-_jpg.rf.cS      0     0.0000     0.0000
  20126f62-c079-11ed-b547-0210      0     0.0000     0.0000
  20_jpg.rf.06pIgnMXIY0dyPu3pO      0     0.0000     0.0000
  20_jpg.rf.UEnOAK6x1dUjcbdSFb      0     0.0000     0.0000
  20_jpg.rf.jeoFs2PYIEie1avgc4      0     0.0000     0.0000
  20d74057c9104f1836819a9ca40f      9     0.5317     0.6162
  21_jpg.rf.dceZtkeKRKhSdrwQvR      6     0.6227     0.7034
  21_jpg.rf.o9pLKVsvRGAPNHCe5a      1     0.4621     0.4621
  23251887-saffron-flower-on-t      5     0.5007     0.5208
  23_jpg.rf.FXUPtvsqPUHX22AkyW      2     0.5519     0.5598
  23_jpg.rf.JFZUENibgP9mFXUwaY      2     0.5513     0.5630
  23_jpg.rf.ZuT6Nf4fJcvi01kXlB      2     0.4869     0.5043
  23a15ff025fbf48750ad82b1b2de      2     0.4874     0.5191
  240_F_103197649_5OFYo0Ir2HmO      3     0.5274     0.5822
  240_F_103197649_5OFYo0Ir2HmO      3     0.5279     0.5836
  240_F_111136930_IhhTfdqJ2zCM     14     0.5076     0.5617
  240_F_125522423_KAdkMggkHpmq     21     0.5497     0.6570
  240_F_125522423_KAdkMggkHpmq     22     0.5490     0.6570
  240_F_125540193_PoV2GMUYmJfm      2     0.4829     0.5150
  240_F_125540193_PoV2GMUYmJfm      2     0.4829     0.5150
  240_F_125540202_hK49mP5gHchH      4     0.5663     0.6048
  240_F_125576821_JU2Pwcw838Nf      3     0.5073     0.5376
  240_F_125576825_PCQ0qfxZi9b9     20     0.5883     0.6999
  240_F_125576825_PCQ0qfxZi9b9     24     0.5912     0.6999
